"Sector_score","PARA_A","Score_A","Risk_A","PARA_B","Score_B","Risk_B","TOTAL","numbers","Risk_C","Money_Value","Score_MV","Risk_D","District_Loss","PROB","RiSk_E","History","Prob","Risk_F","Score","Inherent_Risk","CONTROL_RISK","Detection_Risk","Audit_Risk","Risk"
3.89,0,0.2,0,4.83,0.2,0.966,4.83,5,1,0.94,0.2,0.188,2,0.2,0.4,0,0.2,0,2,2.554,0.4,0.5,0.5108,"not.fraudulent"
3.89,0,0.2,0,10.8,0.6,6.48,10.8,6,3.6,11.75,0.6,7.05,2,0.2,0.4,0,0.221409035409035,0,4.4,17.53,0.4,0.5,3.506,"fraudulent"
3.89,0,0.2,0,0.08,0.2,0.016,0.08,5,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.02357081445395,1.416,0.4,0.5,0.2832,"not.fraudulent"
3.89,0.286311820693394,0.2,0,0.83,0.2,0.166,0.83,5,1,2.95,0.2,0.59,2,0.2,0.4,0,0.2,0,2,2.156,0.4,0.5,0.4312,"not.fraudulent"
3.89,1.1,0.4,0.44,7.41,0.4,2.964,8.51,5,1,44.95,0.6,26.97,2,0.2,0.4,0,0.2,0,3.87001273236567,31.774,0.4,0.5,6.3548,"fraudulent"
3.89,8.4,0.6,5.04,11.05,0.6,6.63,19.45,5.5,2.2,7.34,0.4,2.936,2,0.2,0.4,0.152837301587302,0.2,0,4.2,17.206,0.4,0.5,3.4412,"fraudulent"
3.89,3.61265454623879,0.6,2.388,0.99,0.2,0.198,4.97,5,1,1.93,0.2,0.386,2,0.2,0.4,0,0.2,0,2.4,4.372,0.4,0.5,0.8744,"not.fraudulent"
3.89,5.47,0.6,3.28647767118502,7.63,0.4,3.052,13.1,5,1,10.43,0.6,6.258,2,0.2,0.4,1,0.4,0.4,3.6,14.392,0.8,0.5,5.7568,"fraudulent"
3.89,0,0.2,0,0.84,0.2,0.168,0.84,5,1,0.007,0.2,0.0014,2,0.2,0.4,0,0.2,0,2,1.5694,0.4,0.5,0.31388,"not.fraudulent"
3.89,1.95,0.4,0.78,9.01,0.4,3.604,10.96,5,1,9,0.4,3.6,2,0.2,0.4,0,0.2,0,3,9.384,0.4,0.5,1.8768,"fraudulent"
3.89,8.54,0.6,5.124,31.63,0.6,18.978,40.17,5,1,41.28,0.6,24.768,2,0.2,0.4,1,0.4,0.4,3.99481792717087,50.67,0.8,0.5,20.268,"fraudulent"
3.89,4.18,0.6,2.508,4.83,0.2,0.966,9.01,5.5,2.2,14.03,0.6,8.418,2,0.2,0.4,0,0.2,0,3.2,19.9617842924671,0.4,0.5,2.8984,"fraudulent"
3.89,1.81,0.4,0.724,1.03,0.2,0.206,2.84,5,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.2,2.33,0.4,0.5,0.466,"not.fraudulent"
3.89,6.26,0.6,3.756,14.1,0.6,8.46,20.36,5,1,34.24,0.6,20.544,2,0.2,0.4,1,0.4,0.4,4.2,34.56,0.8,0.5,13.824,"fraudulent"
3.89,0.02,0.2,0.004,2.89161623110796,0.4,2.376,5.96,5,1,0.01,0.2,0.002,2,0.2,0.4,0,0.2,0,2.6,3.782,0.4,0.5,0.7564,"not.fraudulent"
3.89,5.31,0.6,3.186,22.79,0.6,13.674,28.1,5,1,205.19,0.6,123.114,2,0.2,0.4,1,0.4,0.4,4.2,141.774,0.8,0.5,56.7096,"fraudulent"
3.89,0.94,0.2,0.188,0.01,0.2,0.002,0.95,5,1,0.1,0.2,0.02,2,0.2,0.4,0,0.2,0,2,1.61,0.4,0.5,0.322,"not.fraudulent"
3.89,7.42,0.6,4.452,2.24,0.2,0.448,9.66,5,1,1.25,0.2,0.25,2,0.2,0.4,0,0.2,0,2.4,6.55,0.4,0.5,2.63076545591379,"fraudulent"
3.89,0,0.2,0,1.1,0.2,0.22,1.1,5,1,0.007,0.2,0.0014,2,0.2,0.4,0,0.2,0,2,1.6214,0.4,0.5,0.32428,"not.fraudulent"
3.89,0,0.2,0,0.75,0.2,0.15,0.75,5,1,6.78,0.4,2.712,2,0.2,0.4,0,0.2,0,2.2,4.262,0.4,0.5,0.8524,"not.fraudulent"
3.89,2.4,0.6,1.44,16.63,0.6,9.978,19.03,5,1,1.16,0.2,0.232,2,0.2,0.4,0,0.2,0,3.6,13.05,0.4,0.5,2.61,"fraudulent"
3.89,0,0.2,0,0.05,0.2,0.01,0.05,5,1,152.41,0.6,91.446,2,0.242698412698412,0.4,0,0.2,0,2.4,92.856,0.4,0.5,18.5712,"fraudulent"
3.89,0,0.2,0,2.97,0.2,0.594,2.97,5,1,2.84,0.2,0.568,2,0.2,0.4,0,0.2,0,2,2.562,0.4,0.5,0.5124,"not.fraudulent"
3.89,0,0.2,0,0.43,0.2,0.086,0.43,5,1.00149545772187,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.486,0.4,0.5,0.2972,"not.fraudulent"
3.89,0,0.2,0,0.94,0.2,0.188,0.94,5,1.00149545772187,0.9,0.2,0.18,2,0.2,0.4,0,0.2,0,2,1.768,0.4,0.5,0.3536,"not.fraudulent"
3.89,9.01,0.6,5.406,19.82,0.6,11.892,28.83,5.04285714285714,1,9.67,0.4,3.868,2,0.2,0.4,0,0.2,0,3.8,22.566,0.4,0.5,4.5132,"fraudulent"
3.89,0,0.2,0,0.05,0.2,0.01,0.05,5,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.41,0.4,0.5,0.282,"not.fraudulent"
3.89,7.97,0.6,4.782,17.18,0.6,10.308,25.15,5,1.07074074074074,935.03,0.6,561.018,2,0.2,0.4,0,0.2,0,4,577.508,0.4,0.5,115.5016,"fraudulent"
3.89,0,0.2,0,3.71,0.2,0.742,3.71,5,1,29.63,0.6,17.778,2,0.2,0.4,0,0.2,0,2.4,19.92,0.4,0.5,3.984,"fraudulent"
3.89,0.62,0.2,0.124,2.02,0.2,0.404,1.13920872411133,5,1,0.11,0.2,0.022,2,0.2,0.4,0,0.2,0,2,1.95,0.4,0.5,0.39,"not.fraudulent"
3.89,0,0.2,0,0.503142863237715,0.2,0.454,2.27,5,1,2.62,0.2,0.524,2,0.2,0.4,0,0.2,0,2,2.378,0.4,0.5,0.4756,"not.fraudulent"
3.89,0,0.2,0,0,0.2,0,0,5,1.00149545772187,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.4,0.4,0.5,0.28,"not.fraudulent"
3.89,1.17875581067406,0.4,0.528,0,0.2,0,1.32,5,1,0.06,0.2,0.012,2,0.2,0.4,0,0.2,0,2.2,1.94,0.4,0.5,0.388,"not.fraudulent"
3.89,0,0.2,0,1.03,0.2,0.206,1.03,5,1,2.43,0.2,0.486,2,0.2,0.4,0,0.2,0,2,2.092,0.4,0.5,0.4184,"not.fraudulent"
3.89,0,0.2,0,15.38,0.6,9.228,15.38,5,1,126.13,0.6,75.678,2,0.2,0.4,0.127142857142857,0.2,0,3.6,86.306,0.4,0.5,17.2612,"fraudulent"
3.89,0,0.2,0,1.02,0.2,0.204,1.02,5,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.604,0.4,0.5,0.3208,"not.fraudulent"
3.89,0,0.2,0,20.71,0.6,12.426,20.71,5,1,20.79,0.6,12.474,2,0.2,0.4,2,0.6,0.185952380952381,4,27.5,1.6,0.5,22,"fraudulent"
3.89,0,0.2,0,18.05,0.6,10.83,18.05,5,1,2.29,0.2,0.458,2,0.2,0.4,0,0.2,0,3.2,12.688,0.4,0.5,2.5376,"fraudulent"
3.89,0,0.2,0,0.93,0.2,0.186,0.93,5,1,7.78,0.4,3.112,2,0.2,0.4,0,0.2,0,2.2,10.1383240515059,0.4,0.5,0.9396,"not.fraudulent"
3.89,0,0.2,0,1.61,0.2,0.322,1.61,5,1,2.51,0.2,0.502,2,0.2,0.401339133625349,0,0.2,0,2,2.224,0.4,0.5,0.4448,"not.fraudulent"
3.89,6.32,0.6,3.792,9.01,0.4,3.604,15.33,5,1,8.31,0.4,3.324,2,0.2,0.4,0,0.2,0,3.2,12.12,0.4,0.5,2.424,"fraudulent"
3.89,0,0.2,0,1.05,0.2,0.21,1.05,5,1,0.16,0.2,0.032,2,0.2,0.4,0,0.2,0,2,1.642,0.4,0.5,0.3284,"not.fraudulent"
3.89,0,0.2,0,6.8,0.4,2.72,6.8,5,1,47.9,0.6,28.74,2,0.2,0.401339133625349,0,0.2,0,3,32.86,0.4,0.5,6.572,"fraudulent"
3.89,14.04,0.6,8.424,10.83,0.6,6.498,24.87,5,1,8.91,0.4,3.564,2,0.2,0.4,0.0142857142857143,0.2,0,3.8,19.886,0.4,0.5,3.9772,"fraudulent"
3.89,6.67,0.6,4.002,18.02,0.6,11.3328420588235,24.69,5.5,2.2,4.95,0.2,0.99,2,0.2,0.4,2,0.6,1.2,4.4,19.604,1.6,0.5,15.6832,"fraudulent"
3.89,0.286311820693394,0.2,0,0,0.2,0,0,5,1,1.75,0.2,0.35,2,0.2,0.4,0,0.2,0,2,1.75,0.4,0.5,0.35,"not.fraudulent"
3.89,0,0.2,0,0.08,0.2,0.016,0.08,5,1,0.68,0.2,0.136,2,0.2,0.4,0,0.2,0,2,1.552,0.4,0.5,0.3104,"not.fraudulent"
3.89,1.26,0.4,0.504,0.05,0.2,0.01,1.31,5,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.2,1.914,0.4,0.5,0.3828,"not.fraudulent"
3.89,0,0.2,0,0.79,0.2,0.158,0.79,5,1.00149545772187,15.82,0.6,9.492,2,0.2,0.4,0,0.2,0,2.4,11.05,0.4,0.5,2.21,"fraudulent"
3.89,8.81,0.6,5.286,9.02,0.4,3.608,17.83,5,1,215.31,0.6,129.186,2,0.2,0.4,1,0.4,0.4,3.6,139.88,0.8,0.5,55.952,"fraudulent"
3.89,14.2562200577201,0.6,8.352,2.2,0.2,0.44,16.12,5,1,0.05,0.2,0.01,2,0.2,0.4,0,0.2,0,2.4,10.202,0.4,0.5,2.0404,"fraudulent"
3.89,0,0.2,0,0.89,0.2,0.178,0.89,5,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.578,0.4,0.5,0.3156,"not.fraudulent"
3.89,0,0.2,0.103816965569782,3.98,0.2,0.796,3.98,6,3.6,53.34,0.6,32.004,2,0.2,0.4,0,0.2,0,3.2,36.8,0.4,0.5,7.36,"fraudulent"
3.89,10,0.6,6,74.26,0.6,44.556,84.26,5.5,2.2,11.16,0.6,6.696,2,0.2,0.4,3,0.6,1.8,4.8,61.652,2.2,0.5,67.8172,"fraudulent"
3.89,12.27,0.6,7.362,72.46,0.6,43.476,84.73,5,1,5.69,0.4,2.276,2,0.2,0.4,0,0.2,0,3.8,54.514,0.4,0.5,10.9028,"fraudulent"
3.89,0,0.2,0,0.96,0.2,0.192,0.96,5,1,1.35,0.2,0.27,2,0.2,0.4,0,0.2,0,2,1.862,0.4,0.5,0.3724,"not.fraudulent"
3.89,0,0.2,0,63.13,0.6,37.878,63.13,5.04285714285714,1,14.6,0.6,8.76,2,0.2,0.4,1,0.4,0.4,3.8,48.438,0.8,0.5,19.3752,"fraudulent"
3.89,1.99,0.4,0.796,10.24,0.6,6.144,12.23,5,1,20.78,0.6,12.468,2,0.2,0.4,0,0.2,0,3.8,20.808,0.4,0.5,4.1616,"fraudulent"
3.89,0.05,0.2,0.01,0.21,0.2,0.042,11.3501668149197,5.5,2.2,102.22,0.6,61.332,2,0.2,0.4,0,0.2,0,2.8,63.984,0.4,0.5,12.7968,"fraudulent"
3.89,0,0.2,0,7.37,0.4,2.948,4.48831144448449,5,1,0.74,0.2,0.148,2,0.2,0.4,0,0.2,0,2.6,4.496,0.4,0.5,0.8992,"not.fraudulent"
3.89,71.48,0.6,42.888,25.63,0.6,15.378,97.11,5,1,873.37,0.6,524.022,2,0.2,0.401339133625349,0,0.2,0,4,583.688,0.4,0.5,116.7376,"fraudulent"
3.89,0,0.2,0,0,0.2,0,0,5,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.4,0.4,0.5,0.28,"not.fraudulent"
3.89,0,0.2,0,0.58,0.2,0.116,0.58,5,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.516,0.4,0.5,0.3032,"not.fraudulent"
3.89,8.46,0.6,5.076,72.76,0.6,43.656,81.22,5,1,1.4,0.2,0.28,2,0.4,0.8,0.470694444444444,0.6,1.2,4.2,52.012,2,0.5,52.012,"fraudulent"
3.89,0.42,0.2,0.084,0.07,0.2,0.014,0.49,5,1,0.42,0.2,0.084,2,0.2,0.4,0,0.2,0,2,1.582,0.4,0.5,0.3164,"not.fraudulent"
3.89,6.85,0.6,4.11,65.93,0.6,39.558,72.78,5.5,2.2,6.02,0.4,2.408,4,0.2,0.8,0,0.2,0.101904761904762,4.4,49.076,0.8,0.5,19.6304,"fraudulent"
3.89,5.37,0.6,3.222,8.62,0.4,3.448,13.99,5,1,17.16,0.6,10.296,4,0.2,0.8,0,0.2,0,3.6,18.766,0.8,0.5,7.5064,"fraudulent"
3.89,4.93,0.6,2.958,6.54,0.4,2.616,11.47,5.5,2.2,12.91,0.6,7.746,4,0.2,0.8,0,0.2,0,4,16.32,0.8,0.5,6.528,"fraudulent"
3.89,1.22,0.4,0.488,0.06,0.2,0.012,1.28,5,1,0,0.2,0,4,0.2,0.8,0,0.2,0,2.4,2.3,0.8,0.5,0.92,"not.fraudulent"
3.89,15.72,0.6,9.432,57.94,0.6,34.764,73.66,6,3.6,10.79,0.6,6.474,5.88421052631579,0.2,1.2,0,0.2,0,5.2,55.47,1.2,0.5,33.282,"fraudulent"
3.89,4.95,0.6,2.97,42.61,0.6,25.566,47.56,5,1,3.46,0.2,0.692,6,0.2,1.2,1,0.4,0.4,4.2,31.828,1.6,0.5,25.4624,"fraudulent"
3.89,0,0.2,0,0.08,0.2,0.016,0.08,5,1,0.06,0.2,0.012,6,0.2,1.2,0,0.2,0,2.4,2.228,1.2291452991453,0.5,1.3368,"fraudulent"
3.89,1.19,0.4,0.476,12.88,0.6,7.728,14.07,5,1,2.33,0.2,0.466,6,0.2,1.2,0.0392857142857143,0.2,0,3.8,10.87,1.2,0.5,6.522,"fraudulent"
3.89,5.11823703194953,0.6,3.882,12.18,0.6,7.308,18.65,5,1,25.27,0.6,15.162,6,0.2,1.2,0,0.2,0,4.4,28.552,1.2,0.5,17.1312,"fraudulent"
3.89,1.33,0.4,0.532,0,0.2,0,1.33,5,1.00149545772187,0.2,0.2,0.04,6,0.2,1.2,0,0.2,0,2.6,2.772,1.2,0.5,1.6632,"fraudulent"
3.89,0,0.2,0,1.1,0.2,0.22,1.1,5,1,0,0.2,0,6,0.2,1.2,0,0.2,0,2.4,2.29436937722535,1.2,0.5,1.452,"fraudulent"
3.89,2.57,0.6,1.542,4.49,0.2,0.898,7.06,5,1,7.56,0.4,3.024,2,0.2,0.4,1,0.4,0.4,2.8,7.264,0.8,0.5,2.9056,"fraudulent"
3.89,0.77,0.2,0.154,18.31,0.6,10.986,19.08,5,1,67.03,0.6,40.218,2,0.2,0.4,0,0.2,0,3.6,52.758,0.4,0.5,10.5516,"fraudulent"
3.30669709016955,5.23,0.6,3.138,5.89,0.4,2.356,11.12,5,1,19.4,0.6,11.64,2,0.2,0.4,0,0.2,0,3.4,18.534,0.4,0.5,3.7068,"fraudulent"
3.89,6.59,0.6,3.954,23.66,0.6,14.196,30.25,5,1,34.83,0.6,20.898,2,0.255992063492063,0.4,1,0.4,0.4,4.2,40.848,0.8,0.5,16.3392,"fraudulent"
3.89,1,0.4,0.4,0,0.2,0,1.13920872411133,5,1,0.36,0.2,0.072,2,0.2,0.4,0,0.2,0,2.2,1.872,0.4,0.5,0.3744,"not.fraudulent"
3.89,2.63,0.6,1.578,2.55,0.2,0.51,5.18,5,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.4,3.488,0.4,0.5,0.6976,"not.fraudulent"
17.1960966216231,0,0.2,0,0.87,0.2,0.174,0.87,5,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.574,0.4,0.5,0.3148,"not.fraudulent"
3.89,10.96,0.6,6.576,41.47,0.6,24.882,52.43,5,1,60.6071464035964,0.6,21.126,2,0.2,0.4,1,0.4,0.4,4.2,54.384,0.8,0.5,21.7536,"fraudulent"
3.89,0,0.2,0,0.23,0.2,0.046,0.23,5,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.446,0.4,0.5,0.2892,"not.fraudulent"
3.41,4.25,0.6,2.55,45.51,0.6,27.306,49.76,5.60829420579421,2.2,8.2,0.4,3.28,2,0.2,0.4,0,0.2,0,4.2,35.736,0.4,0.5,7.1472,"fraudulent"
3.41,1.98,0.4,0.792,51.42,0.6,30.852,53.4,5.5,2.2,20.33,0.6,12.198,2,0.2,0.4,1,0.4,0.4,4.4,46.842,0.8,0.5,18.7368,"fraudulent"
3.41,1.44,0.4,0.576,29.25,0.6,17.55,30.69,5,1,35.13,0.6,21.078,2,0.2,0.4,0,0.2,0,3.8,42.4164783675097,0.4,0.5,8.1208,"fraudulent"
3.41,1.41,0.4,0.564,36.16,0.594900545678578,21.696,37.57,5,1,13.05,0.6,7.83,2,0.6,1.2,0,0.2,0,4.2,32.29,1.2,0.5,19.374,"fraudulent"
3.41,10.08,0.6,6.048,22.31,0.6,13.386,32.39,5.5,2.2,16.82,0.6,10.092,2,0.2,0.4,0,0.2,0.0630952380952381,4.4,32.126,0.4,0.5,6.4252,"fraudulent"
3.41,14.2562200577201,0.6,15.24,51.74,0.6,31.044,77.14,5,1,12.67,0.6,7.602,6,0.2,1.2,2,0.6,1.2,4.8,57.286,2.4,0.5,68.7432,"fraudulent"
3.41,12.28,0.6,7.368,20.62,0.6,12.372,32.9,5,1,10.16,0.6,6.096,2,0.2,0.4,1,0.4,0.4,4.2,27.636,0.8,0.5,8.24154768945952,"fraudulent"
3.41,3.34,0.6,2.004,37.59,0.6,22.554,40.93,5,1,26.95,0.6,16.17,2,0.2,0.4,0,0.2,0,3.99481792717087,42.128,0.4,0.5,8.4256,"fraudulent"
3.41,15.66,0.6,9.396,74.53,0.6,44.718,90.19,5,1,29.07,0.6,17.442,2,0.2,0.4,0.222837301587302,0.2,0,4,72.956,0.4,0.5,14.5912,"fraudulent"
3.41,2.92,0.6,1.752,5.24,0.4,2.096,8.16,5,1,9.76,0.4,3.904,2,0.2,0.4,0,0.2,0,3.2,10.9557684177031,0.4,0.5,1.8304,"fraudulent"
3.41,0.83,0.2,0.166,28.06,0.6,16.836,28.89,5,1.18682614555256,13.31,0.6,7.986,2,0.2,0.4,0,0.2,0,3.6,26.388,0.4,0.5,5.2776,"fraudulent"
3.41,10,0.6,6,47.9,0.6,28.74,57.9,5,1,7.7,0.4,3.08,2,0.2,0.4,0,0.2,0,3.8,39.22,0.408553999339318,0.5,7.844,"fraudulent"
3.41,13.06,0.6,7.836,45.42,0.6,27.252,58.48,5,1,10.4,0.6,6.24,2,0.2,0.4,0.159980158730159,0.2,0,4,42.728,0.4,0.5,8.5456,"fraudulent"
3.41,1.35,0.4,0.54,33.25,0.6,19.95,34.6,5.5,2.2,20.62,0.6,12.372,2,0.2,0.4,0,0.2,0,4.2,35.462,0.4,0.5,7.0924,"fraudulent"
3.41,4.13,0.6,2.478,16.74,0.6,10.044,20.87,5,1,44.02,0.6,26.412,2,0.2,0.4,0,0.2,0,4,40.334,0.4,0.5,8.0668,"fraudulent"
3.41,16.36,0.6,9.816,41.1,0.6,24.66,57.46,5,1,12.0312974469622,0.6,7.218,4,0.2,0.8,0,0.2,0,4.2,43.494,0.8,0.5,17.3976,"fraudulent"
3.41,12.68,0.6,7.608,41,0.6,24.6,53.68,5.5,2.2,11.88,0.6,8.74533623170689,2,0.2,0.4,0,0.2,0,4.4,41.936,0.4,0.5,8.3872,"fraudulent"
3.41,6.61,0.6,3.966,55.62,0.6,33.372,62.23,5,1,57.16,0.6,34.296,2,0.255992063492063,0.8,0,0.2,0,4.2,73.434,0.8,0.5,29.3736,"fraudulent"
3.41,8.03,0.6,4.818,94.43,0.6,56.658,102.46,5.5,2.2,10.65,0.6,6.39,2,0.2,0.4,2,0.6,1.2,4.8,62.2060361904762,1.6,0.5,57.3328,"fraudulent"
3.41,1.64,0.4,0.656,46.21,0.6,27.726,47.85,5,1,2.45,0.2,0.49,2,0.2,0.4,0.0142857142857143,0.2,0,3.4,30.272,0.4,0.5,6.0544,"fraudulent"
3.41,1.17875581067406,0.4,0.484,43.84,0.6,26.304,45.05,5.5,2.2,31.61,0.6,18.966,2,0.2,0.4,0,0.2,0,4.2,48.354,0.4,0.5,9.6708,"fraudulent"
3.41,1.1,0.4,0.44,87.71,0.6,52.626,88.81,5.5,2.2,34.32,0.6,20.592,2,0.2,0.4,0,0.2,0.0752380952380952,4.2,76.258,0.4,0.5,15.2516,"fraudulent"
3.41,3.61265454623879,0.6,2.502,24.37,0.6,14.622,28.54,5,1,4.24,0.2,0.848,2,0.2,0.4,0,0.2,0,3.6,19.372,0.4,0.5,3.8744,"fraudulent"
3.41,12.29,0.6,7.374,25.74,0.6,15.444,38.03,5,1,22.1,0.6,13.26,2,0.255992063492063,0.8,0,0.2,0,4.2,37.878,0.8,0.5,15.1512,"fraudulent"
3.41,12.54,0.6,7.524,31.62,0.6,18.972,44.16,5,1,54.07,0.6,33.7641581954887,2,0.2,0.4,0,0.2,0,4,60.338,0.4,0.5,12.0676,"fraudulent"
3.41,17.26,0.6,10.356,44.22,0.6,26.532,61.48,5,1,27.68,0.6,16.608,2,0.2,0.4,1,0.4,0.4,4.2,55.296,0.8,0.5,22.1184,"fraudulent"
3.41,1.15,0.4,0.46,20.1,0.594900545678578,12.06,21.25,6,3.6,21.45,0.6,12.87,2,0.2,0.4,0,0.2,0,4.6,29.39,0.4,0.5,5.878,"fraudulent"
3.41,20.04,0.6,12.024,48.9,0.6,29.34,68.94,5,1,11.09,0.6,6.654,2,0.2,0.4,0,0.2,0,4,49.418,0.4,0.5,9.8836,"fraudulent"
3.41,12.17,0.6,7.302,47,0.6,28.2,59.17,6,3.6,10.14,0.6,6.084,2,0.2,0.4,0,0.2,0,4.8,45.586,0.4,0.5,9.1172,"fraudulent"
3.41,9.67,0.6,5.802,62.25,0.6,37.35,71.92,5.5,2.2,17.02,0.592336842105263,10.212,2,0.2,0.4,0,0.2,0,4.4,55.964,0.4,0.5,11.1928,"fraudulent"
3.41,3.77,0.6,2.262,40.86,0.6,24.516,44.63,5,1,18,0.6,10.8,2,0.2,0.4,0,0.2,0,4,38.978,0.4,0.5,7.7956,"fraudulent"
3.41,4.73,0.6,2.838,60.22,0.6,36.132,64.95,5,1,69.76,0.6,41.856,2,0.2,0.4,0,0.2,0,4,62.2060361904762,0.4,0.5,16.4452,"fraudulent"
3.41,5.61,0.6,3.366,1.56,0.2,0.312,6.89347179209774,5,1,4.03,0.2,0.806,2,0.2,0.4,0,0.2,0,2.4,5.884,0.4,0.5,1.1768,"fraudulent"
3.41,5.22,0.6,3.132,20.94,0.6,12.564,26.16,5,1,2.44,0.2,0.488,2,0.2,0.4,0,0.2,0,3.6,17.584,0.4,0.5,3.5168,"fraudulent"
3.41,0.31,0.2,0.062,58.12,0.6,34.872,58.43,5,1,78.98,0.6,47.388,2,0.4,0.8,0,0.2,0,3.8,84.122,0.8,0.5,33.6488,"fraudulent"
3.41,16.53,0.6,9.918,72.99,0.6,43.794,89.52,5,1,5.49,0.4,2.196,2,0.2,0.4,1,0.4,0.4,4,57.708,0.8,0.5,22.3364476434676,"fraudulent"
3.41,2.7,0.6,1.62,45.16,0.6,27.096,47.86,5,1,37.79,0.6,22.674,2,0.2,0.4,0,0.2,0,3.99481792717087,52.79,0.4,0.5,10.558,"fraudulent"
3.41,1.07,0.4,0.428,0,0.2,0,1.07,5,1.00149545772187,0,0.2,0,6,0.2,1.2,0,0.2,0,2.6,2.628,1.2,0.5,1.5768,"fraudulent"
3.41,0.93,0.2,0.186,0,0.2,0,0.93,5,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.586,0.4,0.5,0.3172,"not.fraudulent"
3.41,4.01,0.6,2.406,0,0.2,0,4.01,5,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.4,3.806,0.4,0.5,0.7612,"not.fraudulent"
3.41,1.05,0.4,0.42,0,0.2,0,1.05,5,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.2,1.82,0.4,0.5,0.364,"not.fraudulent"
3.41,1.17875581067406,0.4,0.404,0,0.2,0,1.01,5,1,0.28,0.2,0.056,2,0.2,0.4,0,0.2,0,2.2,1.86,0.4,0.5,0.372,"not.fraudulent"
